Datum tenaamstelling,Brandstof omschrijving,Kenteken
2002-10-28,Benzine,4699
2002-10-30,Benzine,4707
2002-10-30,Diesel,673
2002-10-31,Benzine,4720
2002-10-31,Diesel,674
2002-11-01,Benzine,4724
2002-11-04,Benzine,4726
2002-11-05,Benzine,4728
2002-11-06,Benzine,4731
2002-11-07,Diesel,675
2002-11-07,Benzine,4733
2002-11-08,Diesel,677
2002-11-08,Benzine,4746
2002-11-09,Benzine,4748
2002-11-11,Benzine,4752
2002-11-12,Benzine,4754
2002-11-13,Benzine,4759
2002-11-13,Diesel,678
2002-11-14,Diesel,679
2002-11-14,Benzine,4767
2002-11-15,Diesel,680
2002-11-15,Benzine,4771
2002-11-16,Benzine,4772
2002-11-18,Benzine,4778
2002-11-18,Diesel,681
2002-11-19,Benzine,4781
2002-11-20,Benzine,4786
2002-11-21,Diesel,682
2002-11-21,Benzine,4789
2002-11-22,Benzine,4799
2002-11-22,Diesel,685
2002-11-23,Benzine,4801
2002-11-25,Benzine,4802
2002-11-25,Diesel,686
2002-11-26,Benzine,4804
2002-11-27,Benzine,4811
2002-11-28,Benzine,4819
2002-11-28,Diesel,688
2002-11-29,Benzine,4827
2002-11-30,Diesel,689
2002-12-02,Benzine,4828
2002-12-03,Diesel,690
2002-12-03,Benzine,4832
2002-12-04,Benzine,4835
2002-12-05,Benzine,4838
2002-12-06,Diesel,691
2002-12-06,Benzine,4851
2002-12-06,LPG,119
2002-12-07,Benzine,4856
2002-12-09,Diesel,692
2002-12-09,Benzine,4859
2002-12-10,Benzine,4863
2002-12-10,Diesel,694
2002-12-11,Benzine,4866
2002-12-12,Benzine,4872
2002-12-12,Diesel,695
2002-12-13,Benzine,4876
2002-12-13,Diesel,696
2002-12-14,Benzine,4877
2002-12-16,Benzine,4878
2002-12-17,Benzine,4884
2002-12-18,Diesel,698
2002-12-18,Benzine,4892
2002-12-19,Benzine,4895
2002-12-20,Benzine,4901
2002-12-21,Diesel,699
2002-12-21,Benzine,4903
2002-12-23,Benzine,4907
2002-12-24,Benzine,4910
2002-12-27,Benzine,4916
2002-12-30,Benzine,4921
2002-12-30,Diesel,700
2002-12-31,LPG,120
2002-12-31,Benzine,4923
2003-01-02,Benzine,4931
2003-01-02,Diesel,704
2003-01-03,Diesel,706
2003-01-03,Benzine,4937
2003-01-04,Diesel,707
2003-01-06,Diesel,709
2003-01-06,LPG,121
2003-01-06,Benzine,4941
2003-01-07,Benzine,4946
2003-01-07,Diesel,710
2003-01-08,Benzine,4948
2003-01-09,Benzine,4953
2003-01-09,Diesel,711
2003-01-10,Diesel,723
2003-01-10,Benzine,4964
2003-01-11,Benzine,4969
2003-01-13,Diesel,724
2003-01-13,Benzine,4970
2003-01-14,Benzine,4975
2003-01-15,Benzine,4979
2003-01-16,Benzine,4984
2003-01-17,Diesel,725
2003-01-17,Benzine,4996
2003-01-17,LPG,122
2003-01-18,Benzine,5003
2003-01-20,Benzine,5004
2003-01-20,LPG,123
2003-01-21,Diesel,727
2003-01-21,Benzine,5006
2003-01-22,Benzine,5007
2003-01-23,Benzine,5012
2003-01-23,Diesel,728
2003-01-24,LPG,124
2003-01-24,Benzine,5020
2003-01-24,Diesel,730
2003-01-25,LPG,125
2003-01-25,Benzine,5022
2003-01-27,Benzine,5027
2003-01-27,Diesel,732
2003-01-28,Benzine,5028
2003-01-29,Benzine,5032
2003-01-29,Diesel,734
2003-01-30,Benzine,5041
2003-01-31,Benzine,5052
2003-02-01,Benzine,5055
2003-02-03,Benzine,5059
2003-02-03,Diesel,735
2003-02-04,Benzine,5061
2003-02-04,Diesel,736
2003-02-05,Benzine,5068
2003-02-06,Benzine,5069
2003-02-06,Diesel,739
2003-02-07,Benzine,5083
2003-02-07,Diesel,742
2003-02-08,Benzine,5085
2003-02-08,Diesel,743
2003-02-10,Benzine,5090
2003-02-11,Benzine,5092
2003-02-11,Diesel,745
2003-02-12,Diesel,746
2003-02-12,Benzine,5097
2003-02-13,Benzine,5100
2003-02-14,Benzine,5107
2003-02-15,Benzine,5109
2003-02-17,Benzine,5113
2003-02-18,Benzine,5118
2003-02-19,Benzine,5121
2003-02-20,Diesel,748
2003-02-20,Benzine,5127
2003-02-21,Benzine,5139
2003-02-21,Elektriciteit,1
2003-02-22,Benzine,5140
2003-02-24,Diesel,749
2003-02-24,Benzine,5145
2003-02-25,Benzine,5146
2003-02-26,Benzine,5156
2003-02-26,Diesel,750
2003-02-27,Benzine,5162
2003-02-28,Diesel,754
2003-02-28,Benzine,5169
2003-03-01,Benzine,5170
2003-03-03,Benzine,5172
2003-03-05,Benzine,5174
2003-03-06,Diesel,755
2003-03-06,Benzine,5178
2003-03-07,Benzine,5184
2003-03-07,Diesel,756
2003-03-08,Benzine,5185
2003-03-10,Benzine,5188
2003-03-11,Diesel,757
2003-03-12,Diesel,759
2003-03-12,Benzine,5192
2003-03-13,Diesel,760
2003-03-13,Benzine,5197
2003-03-14,Diesel,762
2003-03-14,Benzine,5205
2003-03-15,Diesel,763
2003-03-15,Benzine,5206
2003-03-17,Benzine,5212
2003-03-17,Diesel,765
2003-03-18,Benzine,5215
2003-03-19,Benzine,5218
2003-03-19,Diesel,766
2003-03-20,Benzine,5224
2003-03-20,Diesel,767
2003-03-21,Diesel,768
2003-03-21,Benzine,5229
2003-03-22,Diesel,770
2003-03-22,Benzine,5230
2003-03-24,Benzine,5232
2003-03-25,Diesel,772
2003-03-25,Benzine,5236
2003-03-26,Benzine,5237
2003-03-27,Diesel,773
2003-03-27,Benzine,5238
2003-03-28,Benzine,5247
2003-03-28,Diesel,774
2003-03-29,Diesel,775
2003-03-29,Benzine,5249
2003-03-31,Benzine,5255
2003-03-31,Diesel,776
2003-04-01,Benzine,5256
