Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2018-07-11,1047,1047,1047,1047,1047
2018-07-12,1170,1170,1170,1170,1168
2018-07-13,1511,1511,1511,1511,1510
2018-07-14,637,637,637,637,637
2018-07-15,23,23,23,23,23
2018-07-16,801,801,801,801,801
2018-07-17,888,888,888,888,888
2018-07-18,885,885,885,885,884
2018-07-19,1105,1105,1105,1105,1104
2018-07-20,1378,1378,1378,1378,1378
2018-07-21,544,544,544,544,544
2018-07-22,16,16,16,16,16
2018-07-23,769,769,769,769,760
2018-07-24,820,820,820,820,819
2018-07-25,879,879,879,879,879
2018-07-26,1516,1516,1516,1516,1516
2018-07-27,1204,1204,1204,1204,1203
2018-07-28,468,468,468,468,468
2018-07-29,21,21,21,21,21
2018-07-30,776,776,776,776,776
2018-07-31,1029,1029,1029,1029,1028
2018-08-01,819,819,819,819,818
2018-08-02,828,828,828,828,828
2018-08-03,997,997,997,997,997
2018-08-04,410,410,410,410,410
2018-08-05,17,17,17,17,17
2018-08-06,655,655,655,655,653
2018-08-07,679,679,679,679,678
2018-08-08,735,735,735,735,734
2018-08-09,807,807,807,807,807
2018-08-10,1005,1005,1005,1005,1005
2018-08-11,434,434,434,434,434
2018-08-12,15,15,15,15,15
2018-08-13,795,795,795,795,795
2018-08-14,767,767,767,767,767
2018-08-15,839,839,839,839,837
2018-08-16,832,832,832,832,832
2018-08-17,1149,1149,1149,1149,1149
2018-08-18,489,489,489,489,489
2018-08-19,19,19,19,19,19
2018-08-20,757,757,757,757,756
2018-08-21,811,811,811,811,811
2018-08-22,899,899,899,899,899
2018-08-23,943,943,943,943,943
2018-08-24,1277,1277,1277,1277,1277
2018-08-25,546,546,546,546,546
2018-08-26,22,22,22,22,22
2018-08-27,879,879,879,879,877
2018-08-28,882,882,882,882,882
2018-08-29,1099,1099,1099,1099,1099
2018-08-30,1349,1349,1349,1349,1348
2018-08-31,1709,1709,1709,1709,1709
2018-09-01,611,611,611,611,611
2018-09-02,21,21,21,21,21
2018-09-03,712,712,712,712,712
2018-09-04,743,743,743,743,743
2018-09-05,813,813,813,813,809
2018-09-06,916,916,916,916,916
2018-09-07,1305,1305,1305,1305,1305
2018-09-08,584,584,584,584,584
2018-09-09,31,31,31,31,31
2018-09-10,753,753,753,753,753
